Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating
Low Fat,FDY45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,2.6248606,17.5,255.1356,4.3
Low Fat,FDU34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7.5501241,18.25,123.1046,4.3
Low Fat,FDN21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7.7168705,18.6,160.6236,4.3
Low Fat,FDO58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.9738393,19.6,163.7526,4.3
Low Fat,DRG49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,6.7730081,7.81,242.6486,4.3
Low Fat,DRE48,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,1.7396308,8.43,196.0768,4.3
Low Fat,DRI49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,18.4254826,14.15,82.4276,4.3
Low Fat,DRD13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.9279392,15,65.7168,4.3
Low Fat,DRI37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,10.8036187,15.85,57.3904,4.3
Low Fat,DRG13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.7337632,17.25,163.7526,4.3
Regular,FDX48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.8042233,17.75,154.2656,4.3
Regular,FDX47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.4745307,6.55,158.8288,4.3
Regular,FDL13,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,5.6547986,13.85,232.73,4.3
Regular,FDA37,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,5.5451725,7.81,122.6046,4.3
Regular,FDP13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,13.4870732,8.1,41.948,4.3
Regular,FDQ25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,2.8391879,8.63,173.9422,4.3
Regular,FDE14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.1573246,13.65,99.47,4.3
Regular,FDA01,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,5.4599767,15,59.4904,4.3
Regular,FDW38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,13.9244918,5.325,53.0298,4.3
Regular,FDJ03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,7.2689818,12.35,48.7692,4.3
Regular,FDK03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,7.4221559,12.6,255.9356,4.3
Regular,FDC40,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,6.5328932,16,78.4986,4.3
Regular,FDT26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,6.823032,18.85,121.044,4.3
Regular,FDM16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.3692089,8.155,76.2354,4.3
Regular,FDH05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,9.1283986,14.35,232.6984,4.3
Regular,FDO31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,2.9100745,6.76,80.696,4.3
Regular,FDN08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,7.72,117.7466,4.3
Regular,FDC33,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,6.9219165,8.96,196.5768,4.3
Regular,FDO08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,11.1,165.5526,4.3
Regular,FDW19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.8657256,12.35,110.257,4.3
Regular,FDY20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,8.2085787,12.5,92.2488,4.3
Regular,FDV19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.5400659,14.85,161.9578,4.3
Regular,FDF45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,1.2254429,18.2,59.9904,4.3
Regular,FDQ27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.4432887,5.19,102.899,4.3
Regular,FDY39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.7220268,5.305,181.9608,4.3
Regular,FDM27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,15.911489,12.35,158.1946,4.3
Regular,FDU51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,9.6906831,20.2,175.5028,4.3
Regular,FDS45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,2.9616108,5.175,107.7622,4.3
Regular,FDK10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.0523265,5.785,177.866,4.3
Regular,FDO46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,1.4270394,9.6,187.3872,4.3
Regular,FDL57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,6.7350054,15.1,257.3304,4.3
Regular,FDS46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.7449835,17.6,118.1782,4.3
Regular,DRC13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,3.2573725,8.26,125.073,4.3
Regular,FDE23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,5.3397642,17.6,46.706,4.3
low Fat,DRJ01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,11.5500999,6.135,161.1236,4.3
Regular,FDA04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,6.7001825,11.3,259.1962,4.3
Regular,FDS31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.4372393,13.1,180.3318,4.3
Low Fat,FDX60,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.0203852,12.6,77.996,4.3
Low Fat,FDM20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,12.6,245.0144,4.3
Low Fat,FDW08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,14.7663025,12.6,106.028,4.3
Low Fat,NCR50,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,1.1762847,12.6,153.534,4.3
Low Fat,FDE24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,9.3010026,12.6,143.0812,4.3
Low Fat,FDJ48,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,5.6161529,12.6,246.9118,4.3
Low Fat,FDO60,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,3.4203092,12.6,43.3086,4.3
Low Fat,FDR48,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,13.0867413,12.6,150.8024,4.3
Low Fat,FDA13,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,7.8174543,12.6,39.9506,4.3
Low Fat,FDF50,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,11.6762173,12.6,198.9768,4.3
Low Fat,FDN02,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,7.3470234,12.6,205.3638,4.3
Low Fat,DRE15,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,1.769927,12.6,74.2012,4.3
Low Fat,DRF27,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.827966,12.6,152.234,4.3
Low Fat,FDC17,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,1.5385857,12.6,208.9928,4.3
Low Fat,FDH41,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.1614376,12.6,214.7534,4.3
Low Fat,FDX28,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,12.6,100.7042,4.3
Low Fat,FDB08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,3.0952737,12.6,160.1578,4.3
Low Fat,FDC32,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,9.8629062,12.6,90.6462,4.3
Low Fat,FDC44,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,17.1761077,12.6,115.7518,4.3
Low Fat,FDD08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,3.5183156,12.6,37.8506,4.3
Low Fat,FDD20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.0614212,12.6,126.4046,4.3
Low Fat,FDE08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,4.9080853,12.6,147.7734,4.3
Low Fat,FDE57,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,3.6109413,12.6,140.6154,4.3
Low Fat,FDL20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,12.7792701,12.6,111.1886,4.3
Low Fat,FDN20,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.6055106,12.6,169.5474,4.3
Low Fat,DRK59,Hard Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,7.5084457,12.6,233.9616,4.3
Low Fat,NCQ17,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,11.6366304,12.6,158.363,4.3
Low Fat,NCQ41,Health and Hygiene,1998,OUT027,Tier 3,Medium,Supermarket Type3,1.9386057,12.6,194.5794,4.3
Low Fat,NCC18,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,17.6411579,12.6,173.2422,4.3
Low Fat,NCH55,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,3.4504414,12.6,125.202,4.3
Low Fat,NCL54,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.2353076,12.6,176.9054,4.3
Low Fat,NCO14,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.9500321,12.6,46.2086,4.3
Low Fat,NCX54,Household,1998,OUT027,Tier 3,Medium,Supermarket Type3,4.7827139,12.6,105.3622,4.3
Low Fat,FDI19,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,5.2085615,12.6,242.8512,4.3
Low Fat,FDL43,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.6933321,12.6,78.467,4.3
Low Fat,FDN15,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,1.6653022,12.6,139.518,4.3
Low Fat,FDP15,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.3536071,12.6,255.433,4.3
Low Fat,FDQ39,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.0649685,12.6,189.9846,4.3
Low Fat,FDT03,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.9950343,12.6,185.5608,4.3
Low Fat,FDV51,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,3.2381325,12.6,166.1842,4.3
Low Fat,FDY51,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.0741927,12.6,220.8798,4.3
Low Fat,NCM43,Others,1998,OUT027,Tier 3,Medium,Supermarket Type3,1.938106,12.6,164.321,4.3
Low Fat,FDP33,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.8839949,12.6,254.2672,4.3
Low Fat,FDV21,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,17.0254469,12.6,124.8704,4.3
Low Fat,DRD25,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,7.8589629,12.6,113.286,4.3
Low Fat,DRE25,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,7.2928316,12.6,94.412,4.3
Low Fat,DRF36,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.3463124,12.6,190.6846,4.3
Low Fat,DRG13,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,3.7006076,12.6,164.7526,4.3
Low Fat,DRK13,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,11.4609875,12.6,197.0084,4.3
Regular,FDN23,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,7.5142108,12.6,145.8444,4.3
Regular,FDS59,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,4.368089,12.6,110.157,4.3
Regular,FDZ35,Breads,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.2170592,12.6,105.199,4.3
Regular,FDD38,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,12.6,100.3674,4.3
Regular,FDU01,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,1.1937183,12.6,184.7924,4.3
Regular,FDC29,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.4088444,12.6,112.7176,4.3
Regular,FDD41,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.6837543,12.6,106.2306,4.3
Regular,FDA08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,4.9842613,12.6,164.2526,4.3
Regular,FDQ07,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.6983591,12.6,219.8456,4.3
Regular,FDQ31,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,5.3586458,12.6,89.7856,4.3
Regular,FDL03,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.6949463,12.6,197.711,4.3
Regular,FDO27,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,17.8210285,12.6,95.7752,4.3
Regular,FDJ33,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.7894475,12.6,121.173,4.3
Regular,FDW09,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.5795293,12.6,80.2302,4.3
Regular,FDZ21,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,3.9031927,12.6,95.641,4.3
Regular,DRZ11,Soft Drinks,1998,OUT027,Tier 3,Medium,Supermarket Type3,11.2119359,12.6,123.0388,4.3
Low Fat,FDF32,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,6.80243,16.35,196.4426,4.2
Regular,FDN22,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,13.8190277,18.85,250.8724,4.2
Low Fat,NCS17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,8.0829372,18.6,96.4436,4.2
Low Fat,FDK43,Meat,2000,OUT013,Tier 3,High,Supermarket Type1,2.681843,9.8,126.002,4.2
Low Fat,FDM40,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,15.9803853,10.195,141.5154,4.2
Regular,FDN33,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,12.3115764,6.305,95.6436,4.2
Regular,FDW39,Meat,1998,OUT019,Tier 1,Small,Grocery Store,6.4625342,12.6,176.937,4.2
Low Fat,DRJ13,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,6.3017847,12.65,159.0578,4.2
Low Fat,DRI49,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,18.3507295,14.15,82.4276,4.2
Low Fat,FDS52,Frozen Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.9163216,8.89,101.7016,4.2
Low Fat,NCX54,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,4.8331717,9.195,105.1622,4.2
Regular,FDI16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0,14,53.064,4.2
Regular,FDM22,Snack Foods,2000,OUT013,Tier 3,High,Supermarket Type1,4.192285,14,54.764,4.2
Low Fat,NCO17,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,12.8478462,12.6,117.944,4.2
Regular,FDK58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.5165796,11.35,100.0016,4.2
Regular,FDA08,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,5.0186726,11.85,164.1526,4.2
Low Fat,DRC27,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,5.8091482,13.8,245.1802,4.2
Regular,FDL58,Snack Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0,5.78,263.7568,4.2
Low Fat,DRJ51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,8.7977262,14.1,229.0668,4.2
Regular,FDY03,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,7.6276208,17.6,110.9202,4.2
Low Fat,FDG29,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,5.6245075,17.6,43.3454,4.2
Low Fat,DRP47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,14.1398626,15.75,250.5382,4.2
Low Fat,FDB53,Frozen Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,13.9735226,13.35,147.5392,4.2
Regular,FDM01,Breakfast,2020,OUT017,Tier 2,Small,Supermarket Type1,9.5102092,7.895,104.4332,4.2
Low Fat,FDJ22,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,9.246392,12.6,190.9504,4.2
Regular,FDR59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,6.3993068,14.5,260.4594,4.2
Low Fat,FDH27,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,5.8346939,7.075,142.2128,4.2
Low Fat,NCW53,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,5.3392944,12.6,193.8162,4.2
Low Fat,FDW24,Baking Goods,1998,OUT019,Tier 1,Small,Grocery Store,6.5652494,12.6,48.9034,4.2
Regular,FDF11,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,1.7627888,10.195,239.6538,4.2
Low Fat,FDZ27,Dairy,2015,OUT045,Tier 2,Small,Supermarket Type1,1.7191055,7.935,51.535,4.2
Regular,FDL51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.7565208,20.7,213.4876,4.2
Low Fat,FDX08,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,2.2604051,12.85,181.4318,4.2
Low Fat,DRH15,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0,8.775,45.9428,4.2
Low Fat,FDS26,Dairy,1998,OUT027,Tier 3,Medium,Supermarket Type3,8.9035961,12.6,260.5594,4.2
Regular,FDT09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.2282366,15.15,132.5284,4.2
Low Fat,FDK41,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,12.7541722,14.3,84.9224,4.2
Low Fat,FDN09,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,5.837308,14.15,243.9828,4.2
Low Fat,FDK24,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,9.195,43.6744,4.2
Regular,FDW31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,4.3333912,11.35,201.0742,4.2
Regular,FDL48,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,8.2197959,19.35,49.2034,4.2
Regular,FDB38,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0,12.6,160.692,4.2
Regular,FDW44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.5205866,9.5,171.3448,4.2
Low Fat,FDE22,Snack Foods,1998,OUT019,Tier 1,Small,Grocery Store,5.1778173,12.6,157.892,4.2
Low Fat,NCU41,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,5.2054819,18.85,189.1846,4.2
Low Fat,FDL46,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,5.3795154,12.6,117.7466,4.2
Low Fat,FDB21,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,14.8492521,7.475,240.6854,4.2
Low Fat,NCJ42,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,1.4301326,19.75,103.0332,4.2
Low Fat,FDJ08,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,11.1298111,11.1,191.7846,4.2
Low Fat,FDB16,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.4995631,8.21,89.2198,4.2
Regular,FDJ55,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.3567538,12.8,226.8404,4.2
Low Fat,NCZ06,Household,1998,OUT019,Tier 1,Small,Grocery Store,16.4864915,12.6,255.2698,4.2
Low Fat,FDM14,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,1.3263968,13.8,106.9254,4.2
Low Fat,FDA23,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,4.7187038,9.8,100.6016,4.2
Low Fat,FDW49,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,8.2552214,19.5,179.8002,4.2
Low Fat,DRK23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.2088552,8.395,253.704,4.2
Regular,FDV56,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,1.3529884,12.6,106.2596,4.2
Low Fat,DRK39,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,4.9823902,7.02,82.225,4.2
Low Fat,FDM52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,2.6046138,15.1,147.2076,4.2
Low Fat,FDH58,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,3.7014587,12.3,115.1834,4.2
Regular,FDL24,Baking Goods,1998,OUT027,Tier 3,Medium,Supermarket Type3,2.4776026,12.6,172.3422,4.2
Low Fat,FDF46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,9.3653464,7.07,113.3834,4.2
Low Fat,NCO54,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.430324,19.5,57.2614,4.2
Low Fat,NCR17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,2.4482644,9.8,116.2492,4.2
Regular,FDU44,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,5.8142797,12.6,162.1552,4.2
Regular,FDJ03,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,7.2334667,12.35,49.1692,4.2
Regular,FDZ08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,10.9459733,12.6,84.1592,4.2
Low Fat,NCK42,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,1.3120028,7.475,217.6192,4.2
Low Fat,DRK12,Soft Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0,9.5,32.89,4.2
Low Fat,NCR30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,7.1282168,20.6,74.4696,4.2
Low Fat,NCZ41,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,6.4367627,19.85,126.1704,4.2
Regular,FDN52,Frozen Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,13.093275,12.6,86.9198,4.2
Low Fat,FDA43,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,6.4621927,10.895,196.6794,4.2
Low Fat,NCO18,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,2.4701262,13.15,176.8686,4.2
Low Fat,FDZ33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,10.7376743,10.195,147.6076,4.2
Low Fat,NCY05,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,5.4990009,13.5,35.2874,4.2
Low Fat,FDO34,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,5.0111641,17.7,165.9816,4.2
Low Fat,FDX20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.2626422,7.365,227.072,4.2
Low Fat,NCD19,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,8.93,53.2614,4.2
Low Fat,FDZ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,10.3138922,9.17,141.747,4.2
Low Fat,FDA23,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.7260402,9.8,102.8016,4.2
Low Fat,FDO12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.5015935,15.75,194.3452,4.2
Low Fat,FDH24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,2.1464454,20.7,156.6288,4.2
Low Fat,FDW47,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.6447328,15,121.5414,4.2
Low Fat,FDW25,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.7457098,5.175,83.4224,4.2
Low Fat,FDC38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,12.2684413,15.7,132.2942,4.2
Low Fat,FDB15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,13.7023446,10.895,263.7568,4.2
Low Fat,DRC27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.8192802,13.8,246.9802,4.2
Low Fat,FDS50,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.5519561,17,219.8114,4.2
Low Fat,DRH51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,9.7367722,17.6,89.3856,4.2
Low Fat,FDB05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,8.3327693,5.155,247.2776,4.2
Low Fat,FDO16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.5131684,5.48,83.025,4.2
Low Fat,FDZ04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.8014104,9.31,62.351,4.2
Low Fat,FDH16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.2637056,10.5,88.583,4.2
Low Fat,FDL16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,16.871476,12.85,47.306,4.2
Low Fat,FDD08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.5409328,8.3,36.2506,4.2
Low Fat,FDN31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.2994847,11.5,189.253,4.2
Low Fat,FDV43,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.6975118,16,46.2086,4.2
Low Fat,FDI32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,17.4644552,17.7,113.2834,4.2
Low Fat,FDE08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.9396364,18.2,146.4734,4.2
Low Fat,DRK11,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,1.0781158,8.21,149.9392,4.2
Low Fat,DRP47,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,14.0821917,15.75,252.9382,4.2
Low Fat,NCM53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.2121825,18.75,104.828,4.2
Low Fat,NCV54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.3160417,11.1,119.6124,4.2
Low Fat,NCG42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.1291929,19.2,130.131,4.2
Low Fat,FDV03,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,5.8181585,17.6,154.4314,4.2
Low Fat,FDL15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,4.6707264,17.85,152.6682,4.2
Low Fat,FDL10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,3.9553606,8.395,99.1042,4.2
Low Fat,FDX09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,6.5350715,9,175.437,4.2
Low Fat,FDI46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,7.4460855,9.5,253.6724,4.2
